,Request Date (Local),Unnamed: 0,Employee ID,Distance (mi),Duration (min),Fare in KES,Service and Technology Fee,Total Charge in KES
330,2018-06-23,2043,34.0,23.3,82,1557.0,77.85,1634.85
331,2018-06-24,683,20.0,35.2,86,1320.0,66.0,1386.0
332,2018-06-25,6885,186.0,70.24,289,4204.0,210.2,4414.2
333,2018-06-26,2085,37.0,11.260000000000002,45,720.0,36.0,756.0
334,2018-06-27,8430,133.0,99.42,358,5831.0,291.55,6122.55
335,2018-06-28,2842,84.0,24.700000000000003,107,1720.0,86.0,1806.0
336,2018-06-29,2858,96.0,29.630000000000003,123,1961.0,98.05,2059.05
337,2018-02-07,3595,105.0,20.299999999999997,69,2190.0,109.5,2299.5
338,2018-03-07,9464,169.0,61.29,256,6562.0,328.1,6890.1
339,2018-04-07,735,24.0,3.53,21,310.0,15.5,325.5
340,2018-05-07,4431,74.0,24.62,237,2927.0,146.35,3073.35
341,2018-06-07,2974,79.0,15.17,83,1682.0,84.1,1766.1
342,2018-09-07,2241,39.0,20.99,59,1484.0,74.19999999999999,1558.1999999999998
343,2018-10-07,3002,41.0,21.369999999999997,61,1888.0,94.4,1982.4
344,2018-11-07,3775,45.0,26.35,93,1983.0,99.15,2082.15
345,2018-12-07,5327,66.0,38.78,120,3117.0,155.85,3272.85
346,2018-07-13,3066,61.0,21.14,77,1435.0,71.75,1506.75
347,2018-07-16,2310,21.0,15.149999999999999,42,1060.0,53.0,1113.0
348,2018-07-17,11685,180.0,75.43,277,5867.0,293.35,6160.35
349,2018-07-18,1575,31.0,6.76,33,560.0,28.0,588.0
350,2018-07-19,9534,146.0,92.04,303,6231.0,311.55,6542.55
351,2018-07-20,9678,43.0,79.22,273,5143.0,257.15,5400.15
352,2018-07-23,10648,144.0,58.15,213,4776.0,238.8,5014.8
353,2018-07-24,4145,66.0,25.09,96,1590.0,79.5,1669.5
354,2018-07-25,4170,76.0,23.17,98,1990.0,99.5,2089.5
355,2018-07-26,9262,141.0,67.7,235,4706.110000000001,235.31,4941.42
356,2018-07-27,6253,101.0,22.119999999999997,124,1899.0,94.95,1993.95
357,2018-01-08,5133,56.0,49.400000000000006,119,3072.0,153.6,3225.6
358,2018-02-08,4305,50.0,40.099999999999994,123,2400.0,120.0,2520.0
359,2018-03-08,4330,29.0,32.38,116,2150.0,107.5,2257.5
360,2018-04-08,1739,50.0,22.49,72,1369.0,68.45,1437.45
361,2018-05-08,1743,50.0,30.65,59,1931.0,96.55,2027.55
362,2018-06-08,3498,52.0,15.760000000000002,49,1214.0,60.7,1274.7
363,2018-07-08,6160,79.0,31.189999999999998,143,2728.0,136.4,2864.4
364,2018-08-08,2655,25.0,15.58,48,993.0,49.65,1042.65
365,2018-09-08,5337,86.0,55.19,173,3610.0,180.5,3790.5
366,2018-10-08,8975,65.0,23.15,125,2169.93,108.5,2278.43
367,2018-11-08,1807,18.0,6.27,22,336.24,16.81,353.04999999999995
368,2018-08-13,5445,57.0,30.96,118,2668.0,133.4,2801.4
369,2018-08-14,8235,103.0,49.67,208,3960.0,198.0,4158.0
370,2018-08-15,7388,113.0,35.17,140,2894.0,144.7,3038.7
371,2018-08-16,7452,101.0,32.96,126,2872.0,143.6,3015.6
372,2018-08-17,5631,80.0,31.95,92,2220.0,111.0,2331.0
373,2018-08-20,1885,28.0,4.98,17,502.0,25.1,527.1
374,2018-08-22,9485,120.0,29.04,125,2720.0,136.0,2856.0
375,2018-08-23,3822,59.0,14.39,54,1186.0,59.3,1245.3
